epoch,loss,acc,val_loss,val_acc,network
1,1.0337,0.7152,0.2467,0.9359,no_pool_no_dropout
2,0.2440,0.9315,0.1375,0.9637,no_pool_no_dropout
3,0.1384,0.9614,0.1004,0.9717,no_pool_no_dropout
4,0.1010,0.9708,0.0961,0.9726,no_pool_no_dropout
5,0.0835,0.9757,0.0694,0.9787,no_pool_no_dropout
6,0.0628,0.9814,0.0760,0.9813,no_pool_no_dropout
7,0.0650,0.9812,0.0739,0.9813,no_pool_no_dropout
8,0.0592,0.9826,0.0775,0.9809,no_pool_no_dropout
9,0.0488,0.9867,0.0769,0.9821,no_pool_no_dropout
10,0.0535,0.9856,0.0686,0.9827,no_pool_no_dropout
11,0.0435,0.9878,0.0739,0.9820,no_pool_no_dropout
12,0.0342,0.9904,0.0586,0.9869,no_pool_no_dropout
13,0.0301,0.9914,0.0954,0.9799,no_pool_no_dropout
14,0.0441,0.9886,0.0821,0.9815,no_pool_no_dropout
15,0.0331,0.9906,0.0761,0.9825,no_pool_no_dropout
16,0.0403,0.9891,0.0679,0.9855,no_pool_no_dropout
17,0.0327,0.9909,0.0607,0.9870,no_pool_no_dropout
18,0.0266,0.9926,0.0851,0.9844,no_pool_no_dropout
19,0.0381,0.9901,0.0714,0.9836,no_pool_no_dropout
20,0.0264,0.9932,0.0714,0.9843,no_pool_no_dropout
21,0.0206,0.9944,0.0779,0.9862,no_pool_no_dropout
22,0.0205,0.9945,0.0746,0.9839,no_pool_no_dropout
23,0.0330,0.9912,0.1329,0.9773,no_pool_no_dropout
24,0.0435,0.9897,0.0968,0.9802,no_pool_no_dropout
25,0.0294,0.9929,0.0674,0.9874,no_pool_no_dropout
26,0.0237,0.9938,0.0680,0.9869,no_pool_no_dropout
27,0.0199,0.9951,0.0705,0.9871,no_pool_no_dropout
28,0.0248,0.9936,0.0838,0.9842,no_pool_no_dropout
29,0.0271,0.9932,0.0891,0.9832,no_pool_no_dropout
30,0.0252,0.9941,0.0725,0.9871,no_pool_no_dropout
31,0.0162,0.9959,0.0709,0.9856,no_pool_no_dropout
32,0.0294,0.9927,0.0865,0.9841,no_pool_no_dropout
33,0.0270,0.9935,0.0879,0.9839,no_pool_no_dropout
34,0.0234,0.9940,0.0816,0.9834,no_pool_no_dropout
35,0.0236,0.9941,0.0843,0.9843,no_pool_no_dropout
36,0.0260,0.9942,0.0894,0.9852,no_pool_no_dropout
37,0.0245,0.9942,0.0866,0.9841,no_pool_no_dropout
38,0.0231,0.9945,0.0752,0.9866,no_pool_no_dropout
39,0.0218,0.9950,0.0805,0.9860,no_pool_no_dropout
40,0.0186,0.9952,0.0778,0.9865,no_pool_no_dropout
41,0.0230,0.9945,0.0909,0.9860,no_pool_no_dropout
42,0.0154,0.9959,0.0721,0.9897,no_pool_no_dropout
43,0.0306,0.9934,0.0770,0.9881,no_pool_no_dropout
44,0.0148,0.9967,0.0879,0.9865,no_pool_no_dropout
45,0.0149,0.9963,0.0787,0.9880,no_pool_no_dropout
46,0.0181,0.9960,0.0650,0.9893,no_pool_no_dropout
47,0.0219,0.9948,0.0808,0.9880,no_pool_no_dropout
48,0.0267,0.9952,0.0736,0.9893,no_pool_no_dropout
49,0.0187,0.9959,0.0928,0.9848,no_pool_no_dropout
50,0.0202,0.9956,0.0844,0.9876,no_pool_no_dropout
51,0.0243,0.9944,0.0732,0.9893,no_pool_no_dropout
52,0.0158,0.9963,0.1230,0.9833,no_pool_no_dropout
53,0.0226,0.9947,0.0974,0.9861,no_pool_no_dropout
54,0.0180,0.9959,0.0990,0.9856,no_pool_no_dropout
55,0.0156,0.9966,0.0962,0.9858,no_pool_no_dropout
56,0.0181,0.9953,0.1457,0.9806,no_pool_no_dropout
57,0.0307,0.9945,0.0793,0.9887,no_pool_no_dropout
58,0.0218,0.9960,0.0815,0.9864,no_pool_no_dropout
59,0.0148,0.9963,0.0850,0.9889,no_pool_no_dropout
60,0.0132,0.9972,0.0713,0.9889,no_pool_no_dropout
61,0.0171,0.9966,0.0818,0.9883,no_pool_no_dropout
62,0.0217,0.9955,0.1038,0.9860,no_pool_no_dropout
63,0.0150,0.9966,0.0784,0.9894,no_pool_no_dropout
64,0.0153,0.9968,0.0782,0.9888,no_pool_no_dropout
