epoch,loss,acc,val_loss,val_acc,preprocessing
1,0.1129,0.9690,0.8502,0.8801,norm
2,0.1161,0.9673,0.9232,0.8671,norm
3,0.1041,0.9705,0.8993,0.8770,norm
4,0.1014,0.9705,0.8893,0.8762,norm
5,0.0987,0.9725,0.9165,0.8726,norm
6,0.1073,0.9687,0.9218,0.8791,norm
7,0.0967,0.9723,0.9164,0.8755,norm
8,0.1129,0.9694,0.9751,0.8663,norm
9,0.1149,0.9698,0.8766,0.8805,norm
10,0.1097,0.9702,0.8262,0.8922,norm
11,0.0829,0.9757,0.8991,0.8772,norm
12,0.1036,0.9730,0.9279,0.8747,norm
13,0.0854,0.9761,0.9191,0.8730,norm
14,0.0986,0.9728,0.9573,0.8655,norm
15,0.0998,0.9724,0.9260,0.8712,norm
16,0.0880,0.9756,0.8841,0.8753,norm
17,0.1096,0.9701,0.9030,0.8824,norm
18,0.1029,0.9715,0.8469,0.8761,norm
19,0.0828,0.9751,0.8392,0.8861,norm
20,0.0757,0.9784,0.8653,0.8836,norm
21,0.1131,0.9701,0.8921,0.8808,norm
22,0.1004,0.9738,0.9143,0.8876,norm
23,0.0741,0.9785,0.8247,0.8917,norm
24,0.0888,0.9757,0.9493,0.8758,norm
25,0.1117,0.9701,0.9430,0.8711,norm
26,0.0990,0.9732,0.8693,0.8869,norm
27,0.0825,0.9772,0.9203,0.8796,norm
28,0.0957,0.9733,0.9548,0.8743,norm
29,0.0915,0.9760,0.9189,0.8810,norm
30,0.0880,0.9761,0.9392,0.8795,norm
31,0.0858,0.9763,0.9132,0.8792,norm
32,0.1016,0.9728,0.9550,0.8817,norm
33,0.0851,0.9766,0.9719,0.8762,norm
34,0.0990,0.9730,0.9393,0.8839,norm
35,0.0995,0.9754,0.9120,0.8865,norm
36,0.0989,0.9740,0.9668,0.8809,norm
37,0.0920,0.9762,0.9408,0.8866,norm
38,0.1028,0.9729,0.9590,0.8821,norm
39,0.0839,0.9776,0.9800,0.8751,norm
40,0.0862,0.9761,0.9466,0.8820,norm
41,0.0844,0.9764,0.9978,0.8819,norm
42,0.0757,0.9797,1.0048,0.8833,norm
43,0.0779,0.9782,1.0955,0.8675,norm
44,0.1053,0.9733,1.0619,0.8781,norm
45,0.1020,0.9745,0.9961,0.8750,norm
46,0.1016,0.9748,1.0241,0.8720,norm
47,0.0974,0.9754,1.0840,0.8732,norm
48,0.1030,0.9731,1.0060,0.8823,norm
49,0.0912,0.9758,0.9094,0.8871,norm
50,0.0778,0.9786,0.9893,0.8721,norm
51,0.0855,0.9775,1.0149,0.8801,norm
52,0.0836,0.9779,1.0351,0.8758,norm
53,0.0825,0.9779,1.0026,0.8781,norm
54,0.0926,0.9747,1.0335,0.8709,norm
55,0.0935,0.9759,1.3020,0.8602,norm
56,0.1039,0.9750,0.9991,0.8779,norm
57,0.0934,0.9764,0.9569,0.8876,norm
58,0.0771,0.9800,0.9241,0.8892,norm
59,0.0887,0.9767,0.9949,0.8832,norm
60,0.0829,0.9786,1.0210,0.8750,norm
61,0.0779,0.9797,0.9732,0.8800,norm
62,0.0931,0.9753,1.0258,0.8743,norm
63,0.0946,0.9770,1.0010,0.8854,norm
64,0.1147,0.9741,0.9931,0.8829,norm
65,0.0812,0.9789,1.1010,0.8713,norm
66,0.0997,0.9753,1.0109,0.8814,norm
67,0.0766,0.9798,1.2323,0.8618,norm
68,0.1000,0.9749,1.0442,0.8771,norm
69,0.0893,0.9779,1.1147,0.8732,norm
70,0.0898,0.9773,1.1619,0.8689,norm
71,0.1044,0.9746,1.0926,0.8713,norm
72,0.0978,0.9763,1.2356,0.8680,norm
73,0.1035,0.9756,1.0444,0.8774,norm
74,0.0961,0.9767,1.1320,0.8671,norm
75,0.0769,0.9802,1.0170,0.8853,norm
76,0.0738,0.9815,0.9609,0.8925,norm
77,0.0985,0.9765,0.9573,0.8814,norm
78,0.0917,0.9772,1.0637,0.8831,norm
79,0.0900,0.9771,0.9305,0.8878,norm
80,0.0842,0.9786,1.0571,0.8731,norm
81,0.0935,0.9763,0.8953,0.8914,norm
82,0.1205,0.9726,1.0900,0.8801,norm
83,0.0939,0.9773,1.0143,0.8801,norm
84,0.0743,0.9805,0.9324,0.8934,norm
85,0.0892,0.9786,1.0900,0.8774,norm
86,0.0722,0.9813,1.0903,0.8722,norm
87,0.0867,0.9774,1.0191,0.8861,norm
88,0.0800,0.9787,1.0234,0.8833,norm
89,0.0927,0.9767,1.0028,0.8819,norm
90,0.0995,0.9764,1.0961,0.8754,norm
91,0.0853,0.9791,0.9960,0.8789,norm
92,0.0946,0.9775,1.2024,0.8642,norm
93,0.1098,0.9738,1.1419,0.8729,norm
94,0.1157,0.9752,1.0399,0.8823,norm
95,0.0762,0.9803,1.0931,0.8817,norm
96,0.0826,0.9800,0.9887,0.8916,norm
97,0.0708,0.9816,0.9821,0.8895,norm
98,0.0963,0.9768,1.0997,0.8767,norm
99,0.1239,0.9744,1.0942,0.8825,norm
100,0.0887,0.9785,1.2029,0.8705,norm
1,1.9013,0.4833,1.1988,0.6576,std
2,0.9153,0.7246,0.9357,0.7420,std
3,0.6662,0.7995,0.8660,0.7705,std
4,0.5705,0.8276,0.7421,0.8068,std
5,0.4806,0.8530,0.8438,0.7971,std
6,0.4685,0.8584,0.8241,0.8041,std
7,0.3987,0.8756,0.8499,0.8089,std
8,0.3806,0.8856,0.7953,0.8183,std
9,0.3647,0.8905,0.8678,0.8047,std
10,0.3806,0.8889,0.7708,0.8390,std
11,0.3378,0.8993,0.7983,0.8320,std
12,0.3287,0.9016,0.8525,0.8137,std
13,0.2912,0.9114,0.9233,0.8203,std
14,0.3230,0.9031,0.7778,0.8348,std
15,0.2906,0.9127,0.7990,0.8375,std
16,0.2850,0.9151,0.9187,0.8223,std
17,0.2841,0.9143,0.9102,0.8231,std
18,0.2854,0.9150,0.9273,0.8234,std
19,0.2688,0.9210,0.9141,0.8196,std
20,0.2534,0.9234,0.8801,0.8331,std
21,0.2634,0.9222,0.8529,0.8397,std
22,0.2530,0.9256,0.9556,0.8371,std
23,0.2621,0.9253,0.9042,0.8381,std
24,0.2641,0.9231,0.8244,0.8468,std
25,0.2651,0.9255,0.9087,0.8330,std
26,0.2622,0.9277,0.8604,0.8494,std
27,0.2749,0.9226,0.9193,0.8473,std
28,0.2374,0.9336,0.9119,0.8503,std
29,0.2278,0.9340,0.9127,0.8471,std
30,0.2041,0.9397,1.0762,0.8432,std
31,0.2309,0.9347,0.9163,0.8492,std
32,0.2486,0.9306,0.8426,0.8522,std
33,0.2352,0.9344,1.0438,0.8539,std
34,0.2212,0.9373,0.9436,0.8521,std
35,0.2055,0.9423,0.9012,0.8623,std
36,0.2600,0.9285,1.0845,0.8314,std
37,0.2445,0.9321,0.8771,0.8663,std
38,0.2227,0.9385,0.9909,0.8482,std
39,0.1974,0.9439,1.0989,0.8407,std
40,0.2241,0.9394,0.9582,0.8567,std
41,0.2005,0.9434,0.9455,0.8549,std
42,0.2141,0.9429,0.9486,0.8527,std
43,0.2218,0.9390,1.0417,0.8538,std
44,0.2058,0.9434,1.0748,0.8526,std
45,0.2388,0.9358,1.0749,0.8537,std
46,0.2382,0.9390,1.0715,0.8438,std
47,0.2116,0.9423,1.0352,0.8577,std
48,0.2090,0.9446,0.9999,0.8631,std
49,0.2179,0.9421,1.0426,0.8522,std
50,0.1883,0.9485,0.9163,0.8723,std
51,0.1837,0.9516,1.0295,0.8560,std
52,0.2152,0.9430,0.9837,0.8655,std
53,0.2132,0.9446,1.3028,0.8276,std
54,0.2127,0.9433,1.0216,0.8580,std
55,0.2070,0.9476,1.0929,0.8510,std
56,0.2262,0.9432,1.0322,0.8623,std
57,0.2082,0.9465,1.2468,0.8394,std
58,0.1947,0.9478,1.0433,0.8670,std
59,0.1921,0.9510,1.1259,0.8532,std
60,0.2511,0.9385,1.1287,0.8481,std
61,0.1786,0.9524,1.0024,0.8638,std
62,0.2113,0.9473,0.9514,0.8698,std
63,0.1906,0.9512,0.9317,0.8762,std
64,0.1926,0.9523,1.0291,0.8530,std
65,0.2231,0.9463,1.1608,0.8466,std
66,0.1855,0.9539,1.0539,0.8677,std
67,0.2131,0.9479,1.0376,0.8675,std
68,0.2239,0.9453,1.0799,0.8694,std
69,0.2245,0.9475,1.1887,0.8569,std
70,0.1817,0.9551,1.0267,0.8695,std
71,0.1892,0.9531,1.1671,0.8549,std
72,0.1877,0.9527,0.9931,0.8719,std
73,0.2276,0.9462,1.0588,0.8576,std
74,0.1911,0.9537,1.1592,0.8559,std
75,0.1958,0.9539,1.1947,0.8492,std
76,0.2187,0.9499,1.0337,0.8654,std
77,0.2211,0.9504,1.1812,0.8690,std
78,0.1997,0.9531,1.0047,0.8638,std
79,0.2133,0.9491,1.0689,0.8663,std
80,0.1667,0.9591,1.1652,0.8475,std
81,0.1831,0.9548,1.1659,0.8549,std
82,0.1800,0.9540,1.0475,0.8727,std
83,0.1758,0.9562,1.1222,0.8701,std
84,0.2055,0.9511,1.0998,0.8641,std
85,0.2241,0.9487,1.3193,0.8382,std
86,0.2458,0.9456,1.0131,0.8664,std
87,0.2481,0.9475,1.1201,0.8659,std
88,0.2093,0.9556,1.1407,0.8642,std
89,0.1933,0.9569,1.0082,0.8734,std
90,0.1728,0.9571,1.1601,0.8624,std
91,0.2155,0.9498,1.1048,0.8683,std
92,0.2176,0.9529,1.1516,0.8685,std
93,0.1788,0.9592,1.2468,0.8553,std
94,0.1789,0.9567,1.1621,0.8588,std
95,0.1939,0.9553,1.0276,0.8783,std
96,0.1781,0.9582,1.1416,0.8690,std
97,0.2119,0.9537,1.1483,0.8733,std
98,0.1763,0.9581,1.1205,0.8671,std
99,0.2541,0.9478,1.2308,0.8547,std
100,0.2318,0.9503,1.2082,0.8606,std
1,6.8938,0.5722,9.8868,0.3864,orig
2,11.494,0.2868,12.1638,0.2453,orig
3,12.189,0.2437,13.8275,0.1420,orig
4,13.772,0.1455,13.8044,0.1435,orig
5,13.413,0.1677,14.5663,0.0963,orig
6,14.492,0.1008,14.3544,0.1094,orig
7,14.420,0.1053,14.7245,0.0865,orig
8,13.700,0.1499,12.7541,0.2087,orig
9,14.185,0.1199,14.2562,0.1155,orig
10,14.161,0.1214,13.8296,0.1420,orig
11,14.865,0.0777,15.4392,0.0421,orig
12,15.231,0.0550,15.3447,0.0480,orig
13,15.199,0.0570,15.3447,0.0480,orig
14,14.989,0.0700,15.0499,0.0663,orig
15,14.897,0.0757,15.0499,0.0663,orig
16,14.904,0.0753,15.0499,0.0663,orig
17,14.888,0.0763,15.0499,0.0663,orig
18,14.911,0.0749,15.0499,0.0663,orig
19,14.898,0.0757,15.0499,0.0663,orig
20,14.892,0.0760,15.0499,0.0663,orig
21,14.895,0.0758,15.0461,0.0665,orig
22,14.877,0.0769,15.0461,0.0665,orig
23,14.859,0.0781,15.0436,0.0667,orig
24,14.871,0.0774,15.0436,0.0667,orig
25,15.411,0.0439,15.5349,0.0362,orig
26,15.350,0.0476,15.3013,0.0507,orig
27,15.214,0.0561,15.5719,0.0339,orig
28,15.497,0.0385,15.6383,0.0298,orig
29,15.460,0.0408,15.5579,0.0348,orig
30,15.524,0.0369,15.5744,0.0337,orig
31,15.567,0.0342,15.5744,0.0337,orig
32,15.568,0.0341,15.5744,0.0337,orig
33,15.566,0.0343,15.5744,0.0337,orig
34,15.565,0.0343,15.5744,0.0337,orig
35,15.569,0.0340,15.5744,0.0337,orig
36,15.567,0.0342,15.5744,0.0337,orig
37,15.568,0.0341,15.5744,0.0337,orig
38,15.567,0.0342,15.5744,0.0337,orig
39,15.570,0.0340,15.5744,0.0337,orig
40,15.566,0.0342,15.5744,0.0337,orig
41,15.567,0.0342,15.5744,0.0337,orig
42,15.564,0.0344,15.5744,0.0337,orig
43,15.568,0.0341,15.5744,0.0337,orig
44,15.568,0.0341,15.5744,0.0337,orig
45,15.567,0.0342,15.5744,0.0337,orig
46,15.564,0.0343,15.5744,0.0337,orig
47,15.566,0.0343,15.5744,0.0337,orig
48,15.566,0.0342,15.5744,0.0337,orig
49,15.568,0.0341,15.5744,0.0337,orig
50,15.568,0.0341,15.5744,0.0337,orig
51,15.566,0.0342,15.5744,0.0337,orig
52,15.570,0.0340,15.5744,0.0337,orig
53,15.568,0.0341,15.5744,0.0337,orig
54,15.566,0.0343,15.5744,0.0337,orig
55,15.564,0.0344,15.5744,0.0337,orig
56,15.566,0.0343,15.5744,0.0337,orig
57,15.565,0.0343,15.5744,0.0337,orig
58,15.562,0.0345,15.5744,0.0337,orig
59,15.566,0.0343,15.5744,0.0337,orig
60,15.564,0.0344,15.5744,0.0337,orig
61,15.568,0.0341,15.5744,0.0337,orig
62,15.568,0.0341,15.5744,0.0337,orig
63,15.566,0.0342,15.5744,0.0337,orig
64,15.565,0.0343,15.5744,0.0337,orig
65,15.566,0.0342,15.5744,0.0337,orig
66,15.562,0.0345,15.5744,0.0337,orig
67,15.569,0.0340,15.5744,0.0337,orig
68,15.565,0.0343,15.5744,0.0337,orig
69,15.564,0.0344,15.5744,0.0337,orig
