center,left,right,steering,throttle,brake,speed
augmented/center_2017_02_14_17_47_34_010.jpg, augmented/left_2017_02_14_17_47_34_010.jpg, augmented/right_2017_02_14_17_47_34_010.jpg, -1, 0, 0, 0.0001176241
augmented/center_2017_02_14_17_47_34_111.jpg, augmented/left_2017_02_14_17_47_34_111.jpg, augmented/right_2017_02_14_17_47_34_111.jpg, -0.967951, 0, 0, 0.0001171936
augmented/center_2017_02_14_17_47_34_223.jpg, augmented/left_2017_02_14_17_47_34_223.jpg, augmented/right_2017_02_14_17_47_34_223.jpg, -0.670513, 0, 0, 0.0001044921
augmented/center_2017_02_14_17_47_34_325.jpg, augmented/left_2017_02_14_17_47_34_325.jpg, augmented/right_2017_02_14_17_47_34_325.jpg, -0.310681, 0, 0, 7.702882E-05
augmented/center_2017_02_14_17_47_47_398.jpg, augmented/left_2017_02_14_17_47_47_398.jpg, augmented/right_2017_02_14_17_47_47_398.jpg, -0.9970471, 0, 0, 0.8010271
augmented/center_2017_02_14_17_47_47_507.jpg, augmented/left_2017_02_14_17_47_47_507.jpg, augmented/right_2017_02_14_17_47_47_507.jpg, -0.6503311, 0, 0, 0.7990373
augmented/center_2017_02_14_17_47_47_609.jpg, augmented/left_2017_02_14_17_47_47_609.jpg, augmented/right_2017_02_14_17_47_47_609.jpg, -0.3438751, 0, 0, 0.7950743
augmented/center_2017_02_14_17_47_47_713.jpg, augmented/left_2017_02_14_17_47_47_713.jpg, augmented/right_2017_02_14_17_47_47_713.jpg, -0.04658103, 0, 0, 0.7856774
augmented/center_2017_02_14_17_47_51_756.jpg, augmented/left_2017_02_14_17_47_51_756.jpg, augmented/right_2017_02_14_17_47_51_756.jpg, -0.948153, 0, 0, 3.187927
augmented/center_2017_02_14_17_47_51_866.jpg, augmented/left_2017_02_14_17_47_51_866.jpg, augmented/right_2017_02_14_17_47_51_866.jpg, -1, 0, 0, 3.123708
augmented/center_2017_02_14_17_47_51_977.jpg, augmented/left_2017_02_14_17_47_51_977.jpg, augmented/right_2017_02_14_17_47_51_977.jpg, -1, 0, 0, 3.084903
augmented/center_2017_02_14_17_47_52_084.jpg, augmented/left_2017_02_14_17_47_52_084.jpg, augmented/right_2017_02_14_17_47_52_084.jpg, -0.6813641, 0, 0, 3.070358
augmented/center_2017_02_14_17_47_52_193.jpg, augmented/left_2017_02_14_17_47_52_193.jpg, augmented/right_2017_02_14_17_47_52_193.jpg, -0.355126, 0, 0, 3.055104
augmented/center_2017_02_14_17_47_52_298.jpg, augmented/left_2017_02_14_17_47_52_298.jpg, augmented/right_2017_02_14_17_47_52_298.jpg, -0.05694103, 0, 0, 3.025444
augmented/center_2017_02_14_17_47_54_396.jpg, augmented/left_2017_02_14_17_47_54_396.jpg, augmented/right_2017_02_14_17_47_54_396.jpg, -0.422442, 0, 0, 4.100151
augmented/center_2017_02_14_17_47_54_501.jpg, augmented/left_2017_02_14_17_47_54_501.jpg, augmented/right_2017_02_14_17_47_54_501.jpg, -0.738135, 0, 0, 4.019579
augmented/center_2017_02_14_17_47_54_608.jpg, augmented/left_2017_02_14_17_47_54_608.jpg, augmented/right_2017_02_14_17_47_54_608.jpg, -0.723621, 0, 0, 3.945453
augmented/center_2017_02_14_17_47_54_714.jpg, augmented/left_2017_02_14_17_47_54_714.jpg, augmented/right_2017_02_14_17_47_54_714.jpg, -0.406305, 0, 0, 3.92696
augmented/center_2017_02_14_17_47_54_815.jpg, augmented/left_2017_02_14_17_47_54_815.jpg, augmented/right_2017_02_14_17_47_54_815.jpg, -0.10335, 0, 0, 3.891884
augmented/center_2017_02_14_17_47_59_918.jpg, augmented/left_2017_02_14_17_47_59_918.jpg, augmented/right_2017_02_14_17_47_59_918.jpg, -0.461169, 0, 0, 2.589352
augmented/center_2017_02_14_17_48_00_028.jpg, augmented/left_2017_02_14_17_48_00_028.jpg, augmented/right_2017_02_14_17_48_00_028.jpg, -0.8094571, 0, 0, 2.528601
augmented/center_2017_02_14_17_48_00_129.jpg, augmented/left_2017_02_14_17_48_00_129.jpg, augmented/right_2017_02_14_17_48_00_129.jpg, -0.7716719, 0, 0, 2.492359
augmented/center_2017_02_14_17_48_00_233.jpg, augmented/left_2017_02_14_17_48_00_233.jpg, augmented/right_2017_02_14_17_48_00_233.jpg, -0.4618529, 0, 0, 2.481773
